0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1009.48999,1009.48999,1009.48999,1009.48999,1009.48999,-2.605886155330439,15071.919922,15244.650391,14883.320313,15074.799805,15074.799805,-0.3450796258345989,15795.150391,15795.150391,15424.709961000002,15513.570313,15513.570313,-1.9848052620246024
1015.780029,1015.780029,1015.780029,1015.780029,1015.780029,0.6230907747782455,14679.990234,14786.040038999998,14494.379883,14680.5,14680.5,-2.615622164807918,15491.799805,15580.320313,15392.740234,15550.639647999998,15550.639647999998,0.2389478002296829
1022.469971,1022.469971,1022.469971,1022.469971,1022.469971,0.6586014500192805,15185.679688,15284.650391,14956.879883,14973.400391,14973.400391,1.9951663158611632,15516.150391,15516.150391,15101.639647999998,15330.30957,15330.30957,-1.41685540265436
1026.880005,1026.880005,1026.880005,1026.880005,1026.880005,0.4313118355629308,15081.759766,15134.530272999998,14794.80957,14873.429688,14873.429688,-0.6676553113485695,15366.80957,15688.169922,15366.80957,15512.320313,15512.320313,1.1872607149185033
1021.460022,1021.460022,1021.460022,1021.460022,1021.460022,-0.5278107445474967,14751.94043,14751.94043,14356.05957,14458.519531,14458.519531,-2.7896064707574,15526.990234,15545.05957,15340.219727000002,15340.219727000002,15340.219727000002,-1.109444509444346
1003.859985,1003.859985,1003.859985,1003.859985,1003.859985,-1.723027492112672,14352.419922,14422.519531,14107.740234,14422.519531,14422.519531,-0.2489881479415201,15324.349609,15324.349609,14832.969727000002,14872.480469,14872.480469,-3.0491040306074857
1025.310059,1025.310059,1025.310059,1025.310059,1025.310059,2.1367595402261186,14822.429688,15105.450195,14822.429688,15044.530272999998,15044.530272999998,4.312774482038573,14901.110352000002,15027.129883,14707.879883,14811.080078,14811.080078,-0.4128456657111146
1038.22998,1038.22998,1038.22998,1038.22998,1038.22998,1.2600989219398784,15038.25,15161.030272999998,14864.830078,15102.360352000002,15102.360352000002,0.384392719151827,14842.80957,15314.969727000002,14842.80957,15198.730469,15198.730469,2.6172999467865
1045.369995,1045.369995,1045.369995,1045.369995,1045.369995,0.6877103471814472,15125.830078,15209.339844,14885.650391,14925.929688,14925.929688,-1.168232381480927,15197.929688,15224.80957,15035.240234,15097.959961000002,15097.959961000002,-0.6630192449661121
1066.640015,1066.640015,1066.640015,1066.640015,1066.640015,2.034688206255608,14987.360352000002,15152.580078,14980.040038999998,15061.139647999998,15061.139647999998,0.9058729528164776,15100.080078,15229.459961000002,15066.599609,15148.19043,15148.19043,0.3326970605946
1057.01001,1057.01001,1057.01001,1057.01001,1057.01001,-0.9028355269420474,14904.290038999998,15166.219727000002,14764.5,14996.240234,14996.240234,-0.4309063956432823,15108.459961000002,15108.459961000002,14840.469727000002,14840.469727000002,14840.469727000002,-2.031402393718118
1049.050049,1049.050049,1049.050049,1049.050049,1049.050049,-0.7530639184769927,15065.089844,15182.629883,14820.990234,14902.459961000002,14902.459961000002,-0.6253585667918005,14787.379883,14858.429688,14577.200195,14858.429688,14858.429688,0.1210201653342846
1058.430054,1058.430054,1058.430054,1058.430054,1058.430054,0.8941427540984703,14936.19043,14958.969727000002,14763.679688,14799.900391,14799.900391,-0.6882056403332282,14852.790038999998,14989.410156,14582.200195,14582.200195,14582.200195,-1.8590759508260168
1061.339966,1061.339966,1061.339966,1061.339966,1061.339966,0.2749271894730398,14791.419922,15090.599609,14729.209961000002,14895.339844,14895.339844,0.6448655090816713,14607.019531,14715.660156,14425.219727000002,14464.55957,14464.55957,-0.8067412559617515
