index,Date,Open,High,Low,Close,Adj Close,Percent Change,Index
3,2000-10-11,10521.070313,10566.580078,10350.889648,10413.790039,10413.790039,-1.050989585065476,Dow Jones Industrial
4,2000-10-11,1009.48999,1009.48999,1009.48999,1009.48999,1009.48999,-2.605886155330439,Euronext100
5,2000-10-11,15376.620117,15376.620117,15073.950195,15127.0,15127.0,-2.7459645221372786,Hang Seng
6,2000-10-11,15795.150391,15795.150391,15424.709961000002,15513.570313,15513.570313,-1.9848052620246024,Nikkei 225
7,2000-10-12,10424.139648,10460.400391,10023.490234,10034.580078,10034.580078,-3.641421226852515,Dow Jones Industrial
8,2000-10-12,1015.780029,1015.780029,1015.780029,1015.780029,1015.780029,0.6230907747782455,Euronext100
9,2000-10-12,15071.919922,15244.650391,14883.320313,15074.799805,15074.799805,-0.3450796258345989,Hang Seng
10,2000-10-12,15491.799805,15580.320313,15392.740234,15550.639647999998,15550.639647999998,0.2389478002296829,Nikkei 225
11,2000-10-13,10031.620117,10208.089844,10014.240234,10192.179688,10192.179688,1.570565073724639,Dow Jones Industrial
12,2000-10-13,1022.469971,1022.469971,1022.469971,1022.469971,1022.469971,0.6586014500192805,Euronext100
13,2000-10-13,14679.990234,14786.040038999998,14494.379883,14680.5,14680.5,-2.615622164807918,Hang Seng
14,2000-10-13,15516.150391,15516.150391,15101.639647999998,15330.30957,15330.30957,-1.41685540265436,Nikkei 225
15,2000-10-16,10184.780273,10272.089844,10177.759766,10238.799805,10238.799805,0.4574106660902854,Dow Jones Industrial
16,2000-10-16,1026.880005,1026.880005,1026.880005,1026.880005,1026.880005,0.4313118355629308,Euronext100
17,2000-10-16,15185.679688,15284.650391,14956.879883,14973.400391,14973.400391,1.9951663158611632,Hang Seng
18,2000-10-16,15366.80957,15688.169922,15366.80957,15512.320313,15512.320313,1.1872607149185033,Nikkei 225
19,2000-10-17,10242.870117,10293.919922,10026.450195,10089.709961,10089.709961,-1.4561261753276322,Dow Jones Industrial
20,2000-10-17,1021.460022,1021.460022,1021.460022,1021.460022,1021.460022,-0.5278107445474967,Euronext100
21,2000-10-17,15081.759766,15134.530272999998,14794.80957,14873.429688,14873.429688,-0.6676553113485695,Hang Seng
22,2000-10-17,15526.990234,15545.05957,15340.219727000002,15340.219727000002,15340.219727000002,-1.109444509444346,Nikkei 225
23,2000-10-18,10085.990234,10085.990234,9654.639648,9975.019531,9975.019531,-1.136706906772511,Dow Jones Industrial
24,2000-10-18,1003.859985,1003.859985,1003.859985,1003.859985,1003.859985,-1.723027492112672,Euronext100
25,2000-10-18,14751.94043,14751.94043,14356.05957,14458.519531,14458.519531,-2.7896064707574,Hang Seng
26,2000-10-18,15324.349609,15324.349609,14832.969727000002,14872.480469,14872.480469,-3.0491040306074857,Nikkei 225
27,2000-10-19,10014.610352,10142.980469,10014.610352,10142.980469,10142.980469,1.6838156304157303,Dow Jones Industrial
28,2000-10-19,1025.310059,1025.310059,1025.310059,1025.310059,1025.310059,2.1367595402261186,Euronext100
29,2000-10-19,14352.419922,14422.519531,14107.740234,14422.519531,14422.519531,-0.2489881479415201,Hang Seng
