0,1,2,3,4,5
10521.070313,10566.580078,10350.889648,10413.790039,10413.790039,-1.050989585065476
10424.139648,10460.400391,10023.490234,10034.580078,10034.580078,-3.641421226852515
10031.620117,10208.089844,10014.240234,10192.179688,10192.179688,1.570565073724639
10184.780273,10272.089844,10177.759766,10238.799805,10238.799805,0.4574106660902854
10242.870117,10293.919922,10026.450195,10089.709961,10089.709961,-1.4561261753276322
10085.990234,10085.990234,9654.639648,9975.019531,9975.019531,-1.136706906772511
10014.610352,10142.980469,10014.610352,10142.980469,10142.980469,1.6838156304157303
10141.129883,10229.549805,10067.509766,10226.589844,10226.589844,0.8243077590017522
10230.290039,10361.25,10216.230469,10271.719727,10271.719727,0.441299433031217
10273.570313,10439.30957,10273.570313,10393.070313,10393.070313,1.181404762057725
10395.660156,10461.969727,10306.589844,10326.480469,10326.480469,-0.6407138794847445
10326.480469,10454.849609,10265.05957,10380.120117,10380.120117,0.5194378487523021
10381.599609,10590.620117,10380.860352,10590.620117,10590.620117,2.0279148760066423
10588.05957,10869.519531,10578.490234,10835.769531,10835.769531,2.314778655939964
10835.389648,10995.410156,10812.259766,10971.139648,10971.139648,1.2492893708445862
10966.209961,10993.509766,10838.040039,10899.469727,10899.469727,-0.6532586704706245
10903.169922,10946.490234,10869.900391,10880.509766,10880.509766,-0.1739530589550897
10820.599609,11006.5,10809.980469,10977.209961,10977.209961,1.4721806176701602
10978.719727,10996.549805,10926.019531,10952.179688,10952.179688,-0.2280203538870817
10954.339844,11002.230469,10903.269531,10907.05957,10907.05957,-0.4119738653433291
10902.110352,10902.110352,10618.490234,10834.25,10834.25,-0.6675453593401381
10813.780273,10813.780273,10602.570313,10602.950195,10602.950195,-2.134894478159544
10595.349609,10595.730469,10369.740234,10517.25,10517.25,-0.8082674484353736
10528.25,10728.360352,10528.25,10681.05957,10681.05957,1.5575323397275742
10681.209961,10799.370117,10635.94043,10707.599609,10707.599609,0.2484775861988808
10705.330078,10757.660156,10639.349609,10656.030273,10656.030273,-0.4816143475952827
10657.129883,10762.589844,10565.790039,10629.870117,10629.870117,-0.2454962620206169
10624.179688,10624.280273,10449.280273,10462.650391,10462.650391,-1.5731116576163218
10465.570313,10569.009766,10415.25,10494.5,10494.5,0.304412436712953
10484.259766,10493.269531,10371.639648,10399.320313,10399.320313,-0.9069482776692506
10403.870117,10508.150391,10397.049805,10470.230469,10470.230469,0.6818729865581297
